Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Beşiktaş,40,26,6,8,89,44,45,84
2,Galatasaray,40,26,6,8,80,36,44,84
3,Fenerbahçe,40,25,7,8,72,41,31,82
4,Trabzonspor,40,19,14,7,50,37,13,71
5,Sivasspor,40,16,17,7,54,43,11,65
6,Hatayspor,40,17,10,13,62,53,9,61
7,Alanyaspor,40,17,9,14,58,45,13,60
8,Karagümrük,40,16,12,12,64,52,12,60
9,Gaziantep FK,40,15,13,12,59,51,8,58
10,Göztepe,40,13,12,15,59,59,0,51
11,Konyaspor,40,12,14,14,49,48,1,50
12,Başakşehir,40,12,12,16,43,55,-12,48
13,Ç. Rizespor,40,12,12,16,53,69,-16,48
14,Kasımpaşa,40,12,10,18,47,57,-10,46
15,Y. Malatyaspor,40,10,15,15,49,53,-4,45
16,Antalyaspor,40,9,17,14,41,55,-14,44
17,Kayserispor,40,9,14,17,35,52,-17,41
18,BB Erzurumspor,40,10,10,20,44,68,-24,40
19,Ankaragücü,40,10,8,22,46,65,-19,38
20,Gençlerbirliği,40,10,8,22,44,76,-32,38
21,Denizlispor,40,6,10,24,38,77,-39,28
