Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Galatasaray,38,33,3,2,92,26,66,102
2,Fenerbahçe,38,31,6,1,99,31,68,99
3,Trabzonspor,38,21,4,13,69,50,19,67
4,Başakşehir,38,18,7,13,57,43,14,61
5,Kasımpaşa,38,16,8,14,62,65,-3,56
6,Beşiktaş,38,16,8,14,52,47,5,56
7,Sivasspor,38,14,12,12,47,54,-7,54
8,Alanyaspor,38,12,16,10,53,50,3,52
9,Ç. Rizespor,38,14,8,16,48,58,-10,50
10,Antalyaspor,38,12,13,13,44,49,-5,49
11,Gaziantep FK,38,12,8,18,50,57,-7,44
12,Adana Demirspor,38,10,14,14,54,61,-7,44
13,Samsunspor,38,11,10,17,42,52,-10,43
14,Kayserispor,38,11,12,15,44,57,-13,42
15,Hatayspor,38,9,14,15,45,52,-7,41
16,Konyaspor,38,9,14,15,40,53,-13,41
17,Ankaragücü,38,8,16,14,46,52,-6,40
18,Karagümrük,38,10,10,18,49,52,-3,40
19,Pendikspor,38,9,10,19,42,73,-31,37
20,İstanbulspor,38,4,7,27,27,80,-53,16
