Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Sporting,34,29,3,2,96,29,67,90
2,Benfica,34,25,5,4,77,28,49,80
3,Porto,34,22,6,6,63,27,36,72
4,Braga,34,21,5,8,71,50,21,68
5,Vitória SC,34,19,6,9,52,38,14,63
6,Moreirense,34,16,7,11,36,35,1,55
7,Arouca,34,13,7,14,54,50,4,46
8,Famalicão,34,10,12,12,37,41,-4,42
9,Casa Pia,34,10,8,16,38,50,-12,38
10,Farense,34,10,7,17,46,51,-5,37
11,Rio Ave,34,6,19,9,38,43,-5,37
12,Gil Vicente,34,9,9,16,42,52,-10,36
13,Estoril,34,9,6,19,49,58,-9,33
14,Estrela Amadora,34,7,12,15,33,53,-20,33
15,Boavista,34,7,11,16,39,62,-23,32
16,Portimonense,34,8,8,18,39,72,-33,32
17,Vizela,34,5,11,18,36,66,-30,26
18,Chaves,34,5,8,21,31,72,-41,23
