,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Inter Milan,41,25.7,22,€16.19m,€663.90m
1,Juventus FC,45,25.2,26,€14.07m,€633.30m
2,AC Milan,42,24.4,27,€13.04m,€547.78m
3,SSC Napoli,32,26.5,21,€16.57m,€530.20m
4,Atalanta BC,39,25.5,21,€11.03m,€430.00m
5,AS Roma,46,25.1,28,€8.60m,€395.65m
6,SS Lazio,44,26.1,32,€7.42m,€326.33m
7,ACF Fiorentina,41,26.1,24,€7.00m,€286.80m
8,US Sassuolo,39,25.4,19,€6.20m,€241.74m
9,Cagliari Calcio,42,25.8,18,€4.47m,€187.83m
10,Torino FC,40,25.8,22,€4.38m,€175.28m
11,Udinese Calcio,42,26.2,30,€4.12m,€173.00m
12,Hellas Verona,46,24.7,21,€3.42m,€157.21m
13,Bologna FC 1909,45,24.6,27,€3.41m,€153.60m
14,Parma Calcio 1913,53,25.5,30,€2.43m,€128.70m
15,UC Sampdoria,34,26.9,18,€3.74m,€127.18m
16,Genoa CFC,44,26.9,23,€2.54m,€111.93m
17,Spezia Calcio,39,26.2,18,€1.84m,€71.68m
18,FC Crotone,41,26.5,19,€1.29m,€52.75m
19,Benevento Calcio,36,27.8,14,€1.39m,€50.13m
